,Name,Age,Height,Weight,Sport
3100,Liudmyla Vasylivna Aksenova (Shapovalova-),29.0,165.0,58.0,Athletics
3101,Liudmyla Vasylivna Aksenova (Shapovalova-),29.0,165.0,58.0,Athletics
3102,Merey Akshalov,20.0,179.0,60.0,Boxing
3103,Aleksandr Timofeyevich Aksinin,21.0,173.0,67.0,Athletics
3104,Aleksandr Timofeyevich Aksinin,21.0,173.0,67.0,Athletics
3105,Aleksandr Timofeyevich Aksinin,25.0,173.0,67.0,Athletics
3106,Aleksandr Timofeyevich Aksinin,25.0,173.0,67.0,Athletics
3107,Viktor Aksonov,23.0,185.0,79.0,Athletics
3108,Ltf Aksoy,25.0,,,Football
3109,Bekir Aksu,,186.0,97.0,Wrestling
3110,Semra Aksu (-Bayan),22.0,184.0,75.0,Athletics
3111,Semra Aksu (-Bayan),22.0,184.0,75.0,Athletics
3112,Semra Aksu (-Bayan),22.0,184.0,75.0,Athletics
3113,Semra Aksu (-Bayan),26.0,184.0,75.0,Athletics
3114,Kemal Aksur,24.0,,,Athletics
3115,Kemal Aksur,24.0,,,Athletics
3116,Kemal Aksur,24.0,,,Athletics
3117,Nikolay Aleksandrovich Aksyonov,26.0,201.0,100.0,Rowing
3118,Nikolay Aleksandrovich Aksyonov,30.0,201.0,100.0,Rowing
3119,Alyona Aksyonova,20.0,172.0,52.0,Shooting
3120,Alyona Aksyonova,20.0,172.0,52.0,Shooting
3121,Alyona Aksyonova,24.0,172.0,52.0,Shooting
3122,Alyona Aksyonova,24.0,172.0,52.0,Shooting
3123,Irina Anatolyevna Aksyonova,17.0,174.0,62.0,Swimming
3124,Irina Anatolyevna Aksyonova,17.0,174.0,62.0,Swimming
3125,Irina Anatolyevna Aksyonova,17.0,174.0,62.0,Swimming
3126,Irina Anatolyevna Aksyonova,17.0,174.0,62.0,Swimming
3127,Yelizaveta Vyacheslavovna Aksyonova,18.0,168.0,60.0,Luge
3128,Sergey Vladimirovich Aksyutin,40.0,190.0,100.0,Shooting
3129,Mohammad Aktar,17.0,156.0,48.0,Wrestling
3130,Sonia Aktar,19.0,,,Swimming
3131,Hseyin Akta,27.0,175.0,63.0,Athletics
3132,Hseyin Akta,35.0,175.0,63.0,Athletics
3133,Serap Akta,24.0,165.0,46.0,Athletics
3134,Serap Akta,28.0,165.0,46.0,Athletics
3135,Shirin Akter,21.0,159.0,50.0,Athletics
3136,Armah Akuetteh,26.0,175.0,75.0,Football
3137,Ohenewa Akuffo,29.0,169.0,72.0,Wrestling
3138,Yuliya Yurivna Akulenko,27.0,173.0,53.0,Athletics
3139,Marina Sergeyevna Akulova,22.0,181.0,70.0,Volleyball
3140,Julius Akumu,27.0,,,Hockey
3141,Chie Akutsu,27.0,155.0,51.0,Hockey
3142,Kozu Akutsu,27.0,162.0,51.0,Athletics
3143,Noah Akwu,21.0,160.0,74.0,Athletics
3144,Vladyslav Ivanovych Akymenko,23.0,192.0,88.0,Sailing
3145,Hasan Al,24.0,173.0,67.0,Boxing
3146,Thijs Joris Al,24.0,180.0,72.0,Cycling
3147,Mohamed Al Moukdad,,,,Boxing
3148,Naser Al Shami,22.0,187.0,81.0,Boxing
3149,Hussein Al-Aameri,25.0,177.0,80.0,Judo
3150,Kamil Al-Abbasi,26.0,183.0,77.0,Athletics
3151,Kamil Al-Abbasi,26.0,183.0,77.0,Athletics
3152,Abdul Rahman Hassan Al-Abdullah,18.0,178.0,65.0,Athletics
3153,Abdullah Basheer Al-Abdullah,20.0,,,Football
3154,Jamal Al-Abdullah Sulaiman Sultan,,170.0,65.0,Athletics
3155,Jamal Al-Abdullah Sulaiman Sultan,,170.0,65.0,Athletics
3156,Sami Juma Sulaiman Al-Abdullah,25.0,174.0,65.0,Athletics
3157,Sami Juma Sulaiman Al-Abdullah,29.0,174.0,65.0,Athletics
3158,Ali Al-Abed,,177.0,62.0,Cycling
3159,Ali Al-Abed,,177.0,62.0,Cycling
3160,Ali Al-Abed,,177.0,62.0,Cycling
3161,Hassan Abdullah Al-Absi,,,,Cycling
3162,Hassan Abdullah Al-Absi,,,,Cycling
3163,Saeed Ali Al-Adhreai,21.0,171.0,64.0,Athletics
3164,Qaied Al-Adwani,25.0,,,Handball
3165,Ahmad Al-Afasi,33.0,,,Shooting
3166,Fawaz Al-Ahmad,22.0,,,Football
3167,Salem Mouled Musa'id Al-Ahmadi,26.0,185.0,75.0,Athletics
3168,Salem Mouled Musa'id Al-Ahmadi,31.0,185.0,75.0,Athletics
3169,Salem Mouled Musa'id Al-Ahmadi,34.0,185.0,75.0,Athletics
3170,Ahmed Sa'd Mas'ud Al-Ahmed,18.0,177.0,70.0,Fencing
3171,Ahmed Sa'd Mas'ud Al-Ahmed,18.0,177.0,70.0,Fencing
3172,Ahmed Sa'd Mas'ud Al-Ahmed,18.0,177.0,70.0,Fencing
3173,Ahmed Sa'd Mas'ud Al-Ahmed,22.0,177.0,70.0,Fencing
3174,Ahmed Sa'd Mas'ud Al-Ahmed,22.0,177.0,70.0,Fencing
3175,Abbas Murshid Al-Aibi,,168.0,67.0,Athletics
3176,Abdullah Azzan Al-Akbary,18.0,183.0,70.0,Athletics
3177,Abdullah Sulaiman Al-Akbary,23.0,180.0,75.0,Athletics
3178,Abdullah Sulaiman Al-Akbary,23.0,180.0,75.0,Athletics
3179,Mazoon Khalfan Saleh Al-Alawi,18.0,182.0,,Athletics
3180,Mishal Al-Ali,28.0,,,Handball
3181,Mubarak Anber Aman Al-Ali,,170.0,65.0,Football
3182,Abdul Azim Mohamed Al-Aliwat,21.0,155.0,,Athletics
3183,Rashid Saad Riyadh Al-Ameeri,25.0,177.0,125.0,Athletics
3184,Mohamed Al-Ammari,18.0,172.0,65.0,Football
3185,Ali Ahmed Al-Amri,23.0,155.0,51.0,Athletics
3186,Ali Ahmed Al-Amri,27.0,155.0,51.0,Athletics
3187,Tariq Ahmed Al-Amri,25.0,165.0,49.0,Athletics
3188,Atallah Al-Anazi,28.0,174.0,74.0,Shooting
3189,Atallah Al-Anazi,28.0,174.0,74.0,Shooting
3190,Abdullah Mohamed Amer Al-Anbari,22.0,170.0,60.0,Athletics
3191,Adel Al-Anezi,23.0,163.0,57.0,Football
3192,Abdel Aziz Khalid Al-Anjri,,155.0,75.0,Handball
3193,Bassam Al-Ansari,,175.0,61.0,Swimming
3194,Bassam Al-Ansari,,175.0,61.0,Swimming
3195,Bassam Al-Ansari,,175.0,61.0,Swimming
3196,Meshal Al-Anzi,20.0,,,Football
3197,Safaq Qaed Al-Anzi,,187.0,83.0,Shooting
3198,Ahmad Al-Aosta,23.0,165.0,69.0,Wrestling
3199,Ahmad Al-Aosta,27.0,165.0,69.0,Wrestling
3200,Ahmed Abdulrahman Al-Arbeed,,,,Fencing
3201,Ahmed Abdulrahman Al-Arbeed,,,,Fencing
3202,Dhaher Al-Aryani,39.0,182.0,73.0,Shooting
3203,Sayed Mohamed Al-Asibi,,,,Shooting
3204,Yousef Al-Askari,18.0,175.0,65.0,Swimming
3205,Nidal Al-Asmar,34.0,183.0,80.0,Shooting
3206,Jarrah Al-Asmawi,21.0,,,Swimming
3207,Jarrah Al-Asmawi,21.0,,,Swimming
3208,Jarrah Al-Asmawi,21.0,,,Swimming
3209,Khaled Al-Assaf,20.0,179.0,68.0,Swimming
3210,Ahmed Mahmoud Al-Assiri,24.0,180.0,72.0,Athletics
3211,Ahmed Mahmoud Al-Assiri,24.0,180.0,72.0,Athletics
3212,Mohamed Juma Al-Aswad Al-Makhoun,20.0,180.0,80.0,Athletics
3213,Kamal Ibrahim Al-Athari,17.0,176.0,63.0,Judo
3214,Rashid Salih Hamad Al-Athba,23.0,175.0,90.0,Shooting
3215,Rashid Salih Hamad Al-Athba,31.0,175.0,90.0,Shooting
3216,Rashid Salih Hamad Al-Athba,31.0,175.0,90.0,Shooting
3217,Mary Al-Atrash,22.0,170.0,57.0,Swimming
3218,Hamad Mubarak Al-Attiya,19.0,,,Football
3219,Nasser Salih Nasser Abdullah Al-Attiya,25.0,178.0,82.0,Shooting
3220,Nasser Salih Nasser Abdullah Al-Attiya,29.0,178.0,82.0,Shooting
3221,Nasser Salih Nasser Abdullah Al-Attiya,33.0,178.0,82.0,Shooting
3222,Nasser Salih Nasser Abdullah Al-Attiya,37.0,178.0,82.0,Shooting
3223,Nasser Salih Nasser Abdullah Al-Attiya,41.0,178.0,82.0,Shooting
3224,Nasser Salih Nasser Abdullah Al-Attiya,45.0,178.0,82.0,Shooting
3225,Hamad Ali Mohamed A Al-Attiyah,21.0,193.0,89.0,Equestrianism
3226,Hamad Ali Mohamed A Al-Attiyah,21.0,193.0,89.0,Equestrianism
3227,Abdul Kareem Salah Al-Awad,22.0,170.0,63.0,Athletics
3228,Abdul Kareem Salah Al-Awad,22.0,170.0,63.0,Athletics
3229,Khaled Anwar Al-Awadhi,15.0,170.0,61.0,Fencing
3230,Khaled Anwar Al-Awadhi,15.0,170.0,61.0,Fencing
3231,Khaled Anwar Al-Awadhi,19.0,170.0,61.0,Fencing
3232,Khaled Anwar Al-Awadhi,19.0,170.0,61.0,Fencing
3233,Khaled Anwar Al-Awadhi,24.0,170.0,61.0,Fencing
3234,Khaled Anwar Al-Awadhi,24.0,170.0,61.0,Fencing
