,Name,Age,Height,Weight,Sport
16000,Edward Battel,,,,Cycling
16001,Edward Battel,,,,Cycling
16002,Ann E. Battelle (-Ayad),24.0,175.0,73.0,Freestyle Skiing
16003,Ann E. Battelle (-Ayad),26.0,175.0,73.0,Freestyle Skiing
16004,Ann E. Battelle (-Ayad),30.0,175.0,73.0,Freestyle Skiing
16005,Ann E. Battelle (-Ayad),34.0,175.0,73.0,Freestyle Skiing
16006,Ivo Battelli,28.0,,,Art Competitions
16007,"Guinevere ""Guin"" Batten",28.0,172.0,74.0,Rowing
16008,"Guinevere ""Guin"" Batten",32.0,172.0,74.0,Rowing
16009,"Jane Kimberley ""Kim"" Batten",27.0,170.0,57.0,Athletics
16010,"Jane Kimberley ""Kim"" Batten",31.0,170.0,57.0,Athletics
16011,Malcolm William Batten,24.0,185.0,85.0,Rowing
16012,Miriam Batten (-Luke),27.0,174.0,70.0,Rowing
16013,Miriam Batten (-Luke),31.0,174.0,70.0,Rowing
16014,Miriam Batten (-Luke),35.0,174.0,70.0,Rowing
16015,Bodo Kurt Battenberg,33.0,182.0,73.0,Equestrianism
16016,Doris M. Batter (-Hatton),19.0,,,Athletics
16017,"James Stewart ""Jim"" Battersby",25.0,195.0,90.0,Rowing
16018,Kerry Battersby (-Agg),15.0,163.0,52.0,Gymnastics
16019,Kerry Battersby (-Agg),15.0,163.0,52.0,Gymnastics
16020,Kerry Battersby (-Agg),15.0,163.0,52.0,Gymnastics
16021,Kerry Battersby (-Agg),15.0,163.0,52.0,Gymnastics
16022,Kerry Battersby (-Agg),15.0,163.0,52.0,Gymnastics
16023,Robert Glenn Battersby,,,,Rowing
16024,Thomas Sydney Battersby,20.0,,,Swimming
16025,Thomas Sydney Battersby,20.0,,,Swimming
16026,Thomas Sydney Battersby,24.0,,,Swimming
16027,Thomas Sydney Battersby,24.0,,,Swimming
16028,Thomas Sydney Battersby,24.0,,,Swimming
16029,Frank Battig,24.0,179.0,73.0,Modern Pentathlon
16030,Frank Battig,24.0,179.0,73.0,Modern Pentathlon
16031,Frank Battig,32.0,179.0,73.0,Fencing
16032,Marco Battilana,29.0,170.0,78.0,Curling
16033,Walter Whall Battiss,42.0,,,Art Competitions
16034,Walter Whall Battiss,42.0,,,Art Competitions
16035,ric Battista,23.0,170.0,70.0,Athletics
16036,ric Battista,27.0,170.0,70.0,Athletics
16037,ric Battista,31.0,170.0,70.0,Athletics
16038,Gary Anthony Battistella,24.0,,,Alpine Skiing
16039,Gary Anthony Battistella,24.0,,,Alpine Skiing
16040,Stefano Battistelli,18.0,176.0,61.0,Swimming
16041,Stefano Battistelli,18.0,176.0,61.0,Swimming
16042,Stefano Battistelli,18.0,176.0,61.0,Swimming
16043,Stefano Battistelli,22.0,176.0,61.0,Swimming
16044,Stefano Battistelli,22.0,176.0,61.0,Swimming
16045,Stefano Battistelli,22.0,176.0,61.0,Swimming
16046,Romano Battisti,25.0,190.0,91.0,Rowing
16047,Romano Battisti,29.0,190.0,91.0,Rowing
16048,Maurizio Battistini,18.0,,,Alpine Skiing
16049,Maurizio Battistini,18.0,,,Alpine Skiing
16050,Sergio Battistini,21.0,,,Football
16051,Patrick Battiston,19.0,180.0,75.0,Football
16052,Battulgyn Oktyabri,17.0,163.0,60.0,Short Track Speed Skating
16053,Battulgyn Oktyabri,21.0,163.0,60.0,Short Track Speed Skating
16054,Battulgyn Temlen,27.0,183.0,124.0,Judo
16055,Emily Batty,24.0,161.0,48.0,Cycling
16056,Emily Batty,28.0,161.0,48.0,Cycling
16057,Yelena Nikolayevna Batukhtina-Tyurina,21.0,184.0,82.0,Volleyball
16058,Yelena Nikolayevna Batukhtina-Tyurina,25.0,184.0,82.0,Volleyball
16059,Yelena Nikolayevna Batukhtina-Tyurina,29.0,184.0,82.0,Volleyball
16060,Yelena Nikolayevna Batukhtina-Tyurina,33.0,184.0,82.0,Volleyball
16061,Batulamai Rajakumar,19.0,170.0,59.0,Athletics
16062,Batulamai Rajakumar,19.0,170.0,59.0,Athletics
16063,Nicolas Batum,23.0,203.0,105.0,Basketball
16064,Nicolas Batum,27.0,203.0,105.0,Basketball
16065,Arieh Batun-Kleinstub,19.0,,,Athletics
16066,Luasa Batungile,24.0,189.0,75.0,Athletics
16067,Valery Batura,22.0,183.0,82.0,Cycling
16068,Yekaterina Sergeyevna Baturina,21.0,178.0,74.0,Luge
16069,Eugenio Baturone Ribas,26.0,164.0,74.0,Bobsleigh
16070,Eugenio Baturone Ribas,26.0,164.0,74.0,Bobsleigh
16071,Albert Georgiyevich Batyrov,26.0,165.0,66.0,Wrestling
16072,Mavlet Alavdinovich Batyrov,20.0,160.0,60.0,Wrestling
16073,Mavlet Alavdinovich Batyrov,24.0,160.0,60.0,Wrestling
16074,"Yanina Farkhadovna ""Yana"" Batyrshina",16.0,163.0,47.0,Rhythmic Gymnastics
16075,Anna Yevgenyevna Batyushko,18.0,164.0,69.0,Weightlifting
16076,Anna Yevgenyevna Batyushko,22.0,164.0,69.0,Weightlifting
16077,Anna Yevgenyevna Batyushko,26.0,164.0,69.0,Weightlifting
16078,Nestoras Batzelas,24.0,185.0,120.0,Wrestling
16079,Albert Batzill,35.0,176.0,65.0,Sailing
16080,Albert Batzill,39.0,176.0,65.0,Sailing
16081,Alexander Bau,23.0,187.0,85.0,Luge
16082,Martin Bau,21.0,182.0,74.0,Swimming
16083,Sabine Christiane Bau,19.0,180.0,66.0,Fencing
16084,Sabine Christiane Bau,19.0,180.0,66.0,Fencing
16085,Sabine Christiane Bau,23.0,180.0,66.0,Fencing
16086,Sabine Christiane Bau,23.0,180.0,66.0,Fencing
16087,Sabine Christiane Bau,27.0,180.0,66.0,Fencing
16088,Sabine Christiane Bau,27.0,180.0,66.0,Fencing
16089,Sabine Christiane Bau,31.0,180.0,66.0,Fencing
16090,Sabine Christiane Bau,31.0,180.0,66.0,Fencing
16091,Gnther Bauch,25.0,179.0,87.0,Wrestling
16092,Herbert Bauch,23.0,182.0,81.0,Boxing
16093,Jan Bauch,,,,Rowing
16094,Armando Bauche,20.0,170.0,66.0,Sailing
16095,Bernd Bauchspie,25.0,182.0,82.0,Football
16096,Adeline Baud (-Mugnier),21.0,162.0,56.0,Alpine Skiing
16097,Adeline Baud (-Mugnier),21.0,162.0,56.0,Alpine Skiing
16098,Frdric Baud,27.0,177.0,65.0,Nordic Combined
16099,Frdric Baud,27.0,177.0,65.0,Nordic Combined
16100,Frdric Baud,27.0,177.0,65.0,Nordic Combined
16101,Jean-Jacques Baud,24.0,184.0,77.0,Shooting
16102,M. Baudechon,,,,Rowing
16103,Mathieu Albert Daniel Bauderlique,27.0,185.0,81.0,Boxing
16104,Belinda C. Baudin (Nairn-),33.0,162.0,59.0,Equestrianism
16105,Belinda C. Baudin (Nairn-),33.0,162.0,59.0,Equestrianism
16106,Robert Baudinne,35.0,,,Ice Hockey
16107,Stefano Baudino,20.0,180.0,82.0,Cycling
16108,L. Baudoin,,,,Swimming
16109,Paule Baudouin,23.0,172.0,58.0,Handball
16110,Paule Baudouin,27.0,172.0,58.0,Handball
16111,Bernard Paul Arthur Baudoux,28.0,,,Fencing
16112,"Claudius ""Claude"" Baudoux",30.0,,,Hockey
16113,Yvon Baudoux,,,,Hockey
16114,Henri Baudrand,,,,Weightlifting
16115,Roland Baudric,,,,Wrestling
16116,Jacques Baudrier,28.0,,,Sailing
16117,Jacques Baudrier,28.0,,,Sailing
16118,Jacques Baudrier,28.0,,,Sailing
16119,Jacques Baudrier,28.0,,,Sailing
16120,Jacques Baudrier,28.0,,,Sailing
16121,Jacques Baudrier,28.0,,,Sailing
16122,Lucien Alexandre Baudrier,38.0,,,Sailing
16123,Lucien Alexandre Baudrier,38.0,,,Sailing
16124,Lucien Alexandre Baudrier,38.0,,,Sailing
16125,Yves Baudrier,30.0,,,Sailing
16126,Yves Baudrier,42.0,,,Art Competitions
16127,Anne-Marie Bauduin,16.0,145.0,40.0,Gymnastics
16128,Anne-Marie Bauduin,16.0,145.0,40.0,Gymnastics
16129,Anne-Marie Bauduin,16.0,145.0,40.0,Gymnastics
16130,Anne-Marie Bauduin,16.0,145.0,40.0,Gymnastics
16131,Anne-Marie Bauduin,16.0,145.0,40.0,Gymnastics
16132,Fernand Bauduin,,,,Athletics
16133,Aloisia Bauer,17.0,160.0,56.0,Swimming
16134,Aloisia Bauer,17.0,160.0,56.0,Swimming
16135,"Andreas ""Andi"" Bauer",20.0,184.0,70.0,Ski Jumping
16136,"Andreas ""Andi"" Bauer",20.0,184.0,70.0,Ski Jumping
16137,"Andreas ""Andi"" Bauer",24.0,184.0,70.0,Ski Jumping
16138,"Andreas ""Andi"" Bauer",24.0,184.0,70.0,Ski Jumping
16139,"Andreas ""Andi"" Bauer",24.0,184.0,70.0,Ski Jumping
16140,Andreas Bauer,23.0,186.0,75.0,Boxing
16141,Anton-Martin Bauer,32.0,195.0,86.0,Equestrianism
16142,Anton-Martin Bauer,32.0,195.0,86.0,Equestrianism
16143,Anton-Martin Bauer,37.0,195.0,86.0,Equestrianism
16144,Armin Bauer,19.0,174.0,66.0,Nordic Combined
16145,Armin Bauer,19.0,174.0,66.0,Nordic Combined
16146,Armin Bauer,19.0,174.0,66.0,Nordic Combined
16147,Armin Bauer,23.0,174.0,66.0,Nordic Combined
16148,Armin Bauer,23.0,174.0,66.0,Nordic Combined
16149,Armin Bauer,23.0,174.0,66.0,Nordic Combined
16150,Bernhard Bauer,26.0,192.0,84.0,Alpine Skiing
16151,Christian Bauer,30.0,171.0,80.0,Shooting
16152,Dennis Bauer,19.0,190.0,85.0,Fencing
16153,Dennis Bauer,19.0,190.0,85.0,Fencing
16154,Dorothee Bauer,21.0,156.0,47.0,Shooting
16155,Emmerich Bauer,24.0,,73.0,Weightlifting
16156,Fritz Bauer,21.0,170.0,,Rowing
16157,Fritz Bauer,26.0,170.0,,Rowing
16158,Fritz Bauer,30.0,170.0,,Rowing
16159,Georges Bauer,23.0,,,Water Polo
16160,Gustave George Bauer,20.0,,,Wrestling
16161,Hans Bauer,24.0,,,Cross Country Skiing
16162,Hans Bauer,24.0,,,Cross Country Skiing
