,Name,Age,Height,Weight,Sport
10600,Areti Athanasopoulou,22.0,168.0,57.0,Taekwondo
10601,Areti Athanasopoulou,26.0,168.0,57.0,Taekwondo
10602,Mikul Athanasov,21.0,,,Wrestling
10603,Gary Wayne Athans,22.0,,,Alpine Skiing
10604,"George Dimitri Athans, Sr.",15.0,,,Diving
10605,"George Dimitri Athans, Sr.",27.0,,,Diving
10606,"George Dimitri Athans, Sr.",27.0,,,Diving
10607,Nigel William Atherfold,21.0,189.0,89.0,Rowing
10608,Courtney Andrew Atherly,24.0,160.0,60.0,Boxing
10609,Athirson Mazolli e Oliveira,23.0,181.0,78.0,Football
10610,Soule Soilihi Athoumane,25.0,180.0,75.0,Swimming
10611,Ron Atias,21.0,170.0,58.0,Taekwondo
10612,Hseyin Atc,26.0,188.0,118.0,Athletics
10613,Nancy Atiez Snchez,23.0,183.0,75.0,Basketball
10614,Manzoor Hussain Atif,23.0,187.0,73.0,Hockey
10615,Manzoor Hussain Atif,28.0,187.0,73.0,Hockey
10616,Manzoor Hussain Atif,31.0,187.0,73.0,Hockey
10617,Manzoor Hussain Atif,36.0,187.0,73.0,Hockey
10618,Celal Atik (Doan-),,,74.0,Wrestling
10619,Damir Atikovi,25.0,,,Table Tennis
10620,Teddy H. Atine-Venel,23.0,184.0,77.0,Athletics
10621,Teddy H. Atine-Venel,31.0,184.0,77.0,Athletics
10622,Dennis Atiyeh,24.0,185.0,130.0,Wrestling
10623,Joseph Atiyeh,27.0,,82.0,Wrestling
10624,Charles Sydney Atkin,31.0,,,Hockey
10625,Tracey Ann Atkin,17.0,170.0,57.0,Swimming
10626,Tracey Ann Atkin,17.0,170.0,57.0,Swimming
10627,Derrick Atkins,24.0,185.0,88.0,Athletics
10628,Derrick Atkins,28.0,185.0,88.0,Athletics
10629,Henrico O. Atkins,22.0,173.0,60.0,Athletics
10630,Henrico O. Atkins,22.0,173.0,60.0,Athletics
10631,Henrico O. Atkins,25.0,173.0,60.0,Athletics
10632,Henrico O. Atkins,25.0,173.0,60.0,Athletics
10633,"Gillian ""Jill"" Atkins",25.0,165.0,65.0,Hockey
